network,autonomous_system_number,autonomous_system_organization
2804:53c::/32,53004,"Downup Telecomunicacoes e servico LTDA"
2804:540::/32,262504,"Nova Rede de Telecomunicacoes Ltda"
2804:544::/32,262505,"N4 Telecomunicacoes LTDA - ME"
2804:548::/32,53005,"Rede Connect Telecom"
2804:54c::/32,262507,"Global Osi Brasil Telecomunicacoes e Conectividade"
2804:554::/32,53143,"R&R PROVEDOR DE INTERNET LTDA"
2804:558::/32,262509,"TELECOM. E INTERNET LTDA"
2804:564::/32,20044,"S/A ESTADO DE MINAS"
2804:568::/32,262514,"TelecomDados Ltda"
2804:56c::/32,28210,"VM OPENLINK COMUNICACAO MULTIMIDIA S.A."
2804:574:3::/48,53013,"W I X NET DO BRASIL LTDA - ME"
2804:574:8000::/33,53013,"W I X NET DO BRASIL LTDA - ME"
2804:578::/32,262516,"Directweb Tecnologia em Informatica Eireli"
2804:57c::/32,262517,"NIQTURBO PIMENTEL E MOREIRA LTDA"
